,Accommodation_Capacity,Unit of measurement,Economic activity,Region,Year,Value
1764,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Basilicata,2021,-1.96
1765,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Basilicata,2022,2.95
1766,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Basilicata,2023,1.21
1769,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Calabria,2021,-2.75
1770,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Calabria,2022,0.21
1771,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Calabria,2023,-5.22
1779,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Sicilia,2021,-1.44
1780,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Sicilia,2022,-0.45
1781,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Sicilia,2023,0.71
1784,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Sardegna,2021,1.34
1785,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Sardegna,2022,0.58
1786,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Sardegna,2023,0.17
1794,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Trentino-Alto Adige,2021,-0.12
1795,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Trentino-Alto Adige,2022,0.61
1796,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Trentino-Alto Adige,2023,2.03
1799,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Trentino-Alto Adige,2021,-1.3
1800,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Trentino-Alto Adige,2022,-0.2
1801,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Trentino-Alto Adige,2023,0.1
1804,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Veneto,2021,-4.53
1805,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Veneto,2022,3.03
1806,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Veneto,2023,-1.34
1809,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Friuli Venezia Giulia,2021,0.22
1810,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Friuli Venezia Giulia,2022,-0.16
1811,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Friuli Venezia Giulia,2023,1.54
1814,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Emilia-Romagna,2021,2.03
1815,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Emilia-Romagna,2022,-0.23
1816,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Emilia-Romagna,2023,-0.45
1824,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Toscana,2021,-0.49
1825,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Toscana,2022,0.06
1826,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Toscana,2023,-0.31
1829,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Umbria,2021,0.87
1830,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Umbria,2022,-8.18
1831,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Umbria,2023,0.2
1834,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Marche,2021,-0.47
1835,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Marche,2022,-4.72
1836,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Marche,2023,-2.38
1839,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Lazio,2021,1.7
1840,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Lazio,2022,-0.03
1841,Bedrooms,Percentage change on previous period,Hotels and similar accommodation,Lazio,2023,-3.37
1873,Establishments,Number,Hotels and similar accommodation,Piemonte,2021,1356.0
1874,Establishments,Number,Hotels and similar accommodation,Piemonte,2022,1355.0
1875,Establishments,Number,Hotels and similar accommodation,Piemonte,2023,1336.0
1878,Establishments,Number,Hotels and similar accommodation,Valle d'Aosta,2021,447.0
1879,Establishments,Number,Hotels and similar accommodation,Valle d'Aosta,2022,446.0
1880,Establishments,Number,Hotels and similar accommodation,Valle d'Aosta,2023,439.0
1883,Establishments,Number,Hotels and similar accommodation,Liguria,2021,1263.0
1884,Establishments,Number,Hotels and similar accommodation,Liguria,2022,1248.0
1885,Establishments,Number,Hotels and similar accommodation,Liguria,2023,1237.0
1888,Establishments,Number,Hotels and similar accommodation,Lombardia,2021,2809.0
1889,Establishments,Number,Hotels and similar accommodation,Lombardia,2022,2818.0
1890,Establishments,Number,Hotels and similar accommodation,Lombardia,2023,2743.0
1898,Establishments,Number,Hotels and similar accommodation,Abruzzo,2021,776.0
1899,Establishments,Number,Hotels and similar accommodation,Abruzzo,2022,773.0
1900,Establishments,Number,Hotels and similar accommodation,Abruzzo,2023,774.0
1903,Establishments,Number,Hotels and similar accommodation,Molise,2021,78.0
1904,Establishments,Number,Hotels and similar accommodation,Molise,2022,76.0
1905,Establishments,Number,Hotels and similar accommodation,Molise,2023,76.0
1908,Establishments,Number,Hotels and similar accommodation,Campania,2021,1707.0
1909,Establishments,Number,Hotels and similar accommodation,Campania,2022,1715.0
1910,Establishments,Number,Hotels and similar accommodation,Campania,2023,1713.0
1913,Establishments,Number,Hotels and similar accommodation,Puglia,2021,1066.0
1914,Establishments,Number,Hotels and similar accommodation,Puglia,2022,1055.0
1915,Establishments,Number,Hotels and similar accommodation,Puglia,2023,1070.0
1918,Establishments,Number,Hotels and similar accommodation,Basilicata,2021,225.0
1919,Establishments,Number,Hotels and similar accommodation,Basilicata,2022,229.0
1920,Establishments,Number,Hotels and similar accommodation,Basilicata,2023,234.0
1923,Establishments,Number,Hotels and similar accommodation,Calabria,2021,801.0
1924,Establishments,Number,Hotels and similar accommodation,Calabria,2022,807.0
1925,Establishments,Number,Hotels and similar accommodation,Calabria,2023,707.0
1933,Establishments,Number,Hotels and similar accommodation,Sicilia,2021,1323.0
1934,Establishments,Number,Hotels and similar accommodation,Sicilia,2022,1333.0
1935,Establishments,Number,Hotels and similar accommodation,Sicilia,2023,1352.0
1938,Establishments,Number,Hotels and similar accommodation,Sardegna,2021,934.0
1939,Establishments,Number,Hotels and similar accommodation,Sardegna,2022,963.0
1940,Establishments,Number,Hotels and similar accommodation,Sardegna,2023,1005.0
1948,Establishments,Number,Hotels and similar accommodation,Trentino-Alto Adige,2021,3934.0
1949,Establishments,Number,Hotels and similar accommodation,Trentino-Alto Adige,2022,3922.0
1950,Establishments,Number,Hotels and similar accommodation,Trentino-Alto Adige,2023,3917.0
1953,Establishments,Number,Hotels and similar accommodation,Trentino-Alto Adige,2021,1432.0
1954,Establishments,Number,Hotels and similar accommodation,Trentino-Alto Adige,2022,1420.0
1955,Establishments,Number,Hotels and similar accommodation,Trentino-Alto Adige,2023,1427.0
1958,Establishments,Number,Hotels and similar accommodation,Veneto,2021,2766.0
1959,Establishments,Number,Hotels and similar accommodation,Veneto,2022,3146.0
1960,Establishments,Number,Hotels and similar accommodation,Veneto,2023,3099.0
1963,Establishments,Number,Hotels and similar accommodation,Friuli Venezia Giulia,2021,775.0
1964,Establishments,Number,Hotels and similar accommodation,Friuli Venezia Giulia,2022,778.0
1965,Establishments,Number,Hotels and similar accommodation,Friuli Venezia Giulia,2023,801.0
1968,Establishments,Number,Hotels and similar accommodation,Emilia-Romagna,2021,4099.0
1969,Establishments,Number,Hotels and similar accommodation,Emilia-Romagna,2022,4080.0
1970,Establishments,Number,Hotels and similar accommodation,Emilia-Romagna,2023,4062.0
1978,Establishments,Number,Hotels and similar accommodation,Toscana,2021,2719.0
1979,Establishments,Number,Hotels and similar accommodation,Toscana,2022,2705.0
1980,Establishments,Number,Hotels and similar accommodation,Toscana,2023,2712.0
1983,Establishments,Number,Hotels and similar accommodation,Umbria,2021,490.0
1984,Establishments,Number,Hotels and similar accommodation,Umbria,2022,447.0
1985,Establishments,Number,Hotels and similar accommodation,Umbria,2023,446.0
1988,Establishments,Number,Hotels and similar accommodation,Marche,2021,791.0
1989,Establishments,Number,Hotels and similar accommodation,Marche,2022,783.0
1990,Establishments,Number,Hotels and similar accommodation,Marche,2023,774.0
1993,Establishments,Number,Hotels and similar accommodation,Lazio,2021,2318.0
1994,Establishments,Number,Hotels and similar accommodation,Lazio,2022,2326.0
1995,Establishments,Number,Hotels and similar accommodation,Lazio,2023,2270.0
2027,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Piemonte,2021,6633.0
2028,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Piemonte,2022,6657.0
2029,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Piemonte,2023,6811.0
2032,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2021,1275.0
2033,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2022,1291.0
2034,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2023,1273.0
2037,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Liguria,2021,5309.0
2038,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Liguria,2022,5295.0
2039,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Liguria,2023,5475.0
2042,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lombardia,2021,14035.0
2043,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lombardia,2022,15729.0
2044,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lombardia,2023,18669.0
2052,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2021,3383.0
2053,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2022,3468.0
2054,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2023,3687.0
2057,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Molise,2021,474.0
2058,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Molise,2022,481.0
2059,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Molise,2023,483.0
2062,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Campania,2021,8510.0
2063,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Campania,2022,9026.0
2064,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Campania,2023,10273.0
2067,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Puglia,2021,9147.0
2068,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Puglia,2022,12734.0
2069,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Puglia,2023,10133.0
2072,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Basilicata,2021,1487.0
2073,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Basilicata,2022,1518.0
2074,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Basilicata,2023,1642.0
2077,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Calabria,2021,3203.0
2078,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Calabria,2022,3607.0
2079,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Calabria,2023,3009.0
2087,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2021,7630.0
2088,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2022,8202.0
2089,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2023,8495.0
2092,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2021,5284.0
2093,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2022,5499.0
2094,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2023,5699.0
2102,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2021,10719.0
2103,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2022,11696.0
2104,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2023,11834.0
2107,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2021,3232.0
2108,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2022,3273.0
2109,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2023,3370.0
2112,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Veneto,2021,59472.0
2113,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Veneto,2022,53933.0
2114,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Veneto,2023,60056.0
2117,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2021,8956.0
2118,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2022,9300.0
2119,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2023,9921.0
2122,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2021,16815.0
2123,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2022,17278.0
2124,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2023,17677.0
2132,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Toscana,2021,17432.0
2133,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Toscana,2022,17926.0
2134,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Toscana,2023,19916.0
2137,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Umbria,2021,4334.0
2138,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Umbria,2022,4351.0
2139,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Umbria,2023,4692.0
2142,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Marche,2021,4739.0
2143,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Marche,2022,4937.0
2144,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Marche,2023,5271.0
2147,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lazio,2021,28388.0
2148,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lazio,2022,28443.0
2149,Establishments,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lazio,2023,21145.0
2181,Establishments,Number,Holiday and other short-stay accommodation,Piemonte,2021,5120.0
2182,Establishments,Number,Holiday and other short-stay accommodation,Piemonte,2022,5148.0
2183,Establishments,Number,Holiday and other short-stay accommodation,Piemonte,2023,5305.0
2186,Establishments,Number,Holiday and other short-stay accommodation,Valle d'Aosta,2021,756.0
2187,Establishments,Number,Holiday and other short-stay accommodation,Valle d'Aosta,2022,771.0
2188,Establishments,Number,Holiday and other short-stay accommodation,Valle d'Aosta,2023,771.0
2191,Establishments,Number,Holiday and other short-stay accommodation,Liguria,2021,3915.0
2192,Establishments,Number,Holiday and other short-stay accommodation,Liguria,2022,3914.0
2193,Establishments,Number,Holiday and other short-stay accommodation,Liguria,2023,4104.0
2196,Establishments,Number,Holiday and other short-stay accommodation,Lombardia,2021,11010.0
2197,Establishments,Number,Holiday and other short-stay accommodation,Lombardia,2022,12691.0
2198,Establishments,Number,Holiday and other short-stay accommodation,Lombardia,2023,15720.0
2206,Establishments,Number,Holiday and other short-stay accommodation,Abruzzo,2021,2521.0
2207,Establishments,Number,Holiday and other short-stay accommodation,Abruzzo,2022,2610.0
2208,Establishments,Number,Holiday and other short-stay accommodation,Abruzzo,2023,2829.0
2211,Establishments,Number,Holiday and other short-stay accommodation,Molise,2021,381.0
2212,Establishments,Number,Holiday and other short-stay accommodation,Molise,2022,390.0
2213,Establishments,Number,Holiday and other short-stay accommodation,Molise,2023,392.0
2216,Establishments,Number,Holiday and other short-stay accommodation,Campania,2021,6703.0
2217,Establishments,Number,Holiday and other short-stay accommodation,Campania,2022,7208.0
2218,Establishments,Number,Holiday and other short-stay accommodation,Campania,2023,8457.0
2221,Establishments,Number,Holiday and other short-stay accommodation,Puglia,2021,7948.0
2222,Establishments,Number,Holiday and other short-stay accommodation,Puglia,2022,11549.0
2223,Establishments,Number,Holiday and other short-stay accommodation,Puglia,2023,8926.0
2226,Establishments,Number,Holiday and other short-stay accommodation,Basilicata,2021,1254.0
2227,Establishments,Number,Holiday and other short-stay accommodation,Basilicata,2022,1281.0
2228,Establishments,Number,Holiday and other short-stay accommodation,Basilicata,2023,1400.0
2231,Establishments,Number,Holiday and other short-stay accommodation,Calabria,2021,2287.0
2232,Establishments,Number,Holiday and other short-stay accommodation,Calabria,2022,2684.0
2233,Establishments,Number,Holiday and other short-stay accommodation,Calabria,2023,2202.0
2241,Establishments,Number,Holiday and other short-stay accommodation,Sicilia,2021,6232.0
2242,Establishments,Number,Holiday and other short-stay accommodation,Sicilia,2022,6791.0
2243,Establishments,Number,Holiday and other short-stay accommodation,Sicilia,2023,7066.0
2246,Establishments,Number,Holiday and other short-stay accommodation,Sardegna,2021,4271.0
2247,Establishments,Number,Holiday and other short-stay accommodation,Sardegna,2022,4453.0
2248,Establishments,Number,Holiday and other short-stay accommodation,Sardegna,2023,4616.0
2256,Establishments,Number,Holiday and other short-stay accommodation,Trentino-Alto Adige,2021,6731.0
2257,Establishments,Number,Holiday and other short-stay accommodation,Trentino-Alto Adige,2022,7716.0
2258,Establishments,Number,Holiday and other short-stay accommodation,Trentino-Alto Adige,2023,7858.0
2261,Establishments,Number,Holiday and other short-stay accommodation,Trentino-Alto Adige,2021,1670.0
2262,Establishments,Number,Holiday and other short-stay accommodation,Trentino-Alto Adige,2022,1682.0
2263,Establishments,Number,Holiday and other short-stay accommodation,Trentino-Alto Adige,2023,1745.0
2266,Establishments,Number,Holiday and other short-stay accommodation,Veneto,2021,56537.0
2267,Establishments,Number,Holiday and other short-stay accommodation,Veneto,2022,50618.0
2268,Establishments,Number,Holiday and other short-stay accommodation,Veneto,2023,56791.0
2271,Establishments,Number,Holiday and other short-stay accommodation,Friuli Venezia Giulia,2021,8152.0
2272,Establishments,Number,Holiday and other short-stay accommodation,Friuli Venezia Giulia,2022,8495.0
2273,Establishments,Number,Holiday and other short-stay accommodation,Friuli Venezia Giulia,2023,9092.0
2276,Establishments,Number,Holiday and other short-stay accommodation,Emilia-Romagna,2021,12606.0
2277,Establishments,Number,Holiday and other short-stay accommodation,Emilia-Romagna,2022,13089.0
2278,Establishments,Number,Holiday and other short-stay accommodation,Emilia-Romagna,2023,13504.0
2286,Establishments,Number,Holiday and other short-stay accommodation,Toscana,2021,14486.0
2287,Establishments,Number,Holiday and other short-stay accommodation,Toscana,2022,14976.0
2288,Establishments,Number,Holiday and other short-stay accommodation,Toscana,2023,16963.0
2291,Establishments,Number,Holiday and other short-stay accommodation,Umbria,2021,3812.0
2292,Establishments,Number,Holiday and other short-stay accommodation,Umbria,2022,3872.0
2293,Establishments,Number,Holiday and other short-stay accommodation,Umbria,2023,4213.0
2296,Establishments,Number,Holiday and other short-stay accommodation,Marche,2021,3800.0
2297,Establishments,Number,Holiday and other short-stay accommodation,Marche,2022,4003.0
2298,Establishments,Number,Holiday and other short-stay accommodation,Marche,2023,4346.0
2301,Establishments,Number,Holiday and other short-stay accommodation,Lazio,2021,25924.0
2302,Establishments,Number,Holiday and other short-stay accommodation,Lazio,2022,25971.0
2303,Establishments,Number,Holiday and other short-stay accommodation,Lazio,2023,18737.0
2335,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Piemonte,2021,5277.0
2336,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Piemonte,2022,5302.0
2337,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Piemonte,2023,5475.0
2340,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2021,828.0
2341,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2022,845.0
2342,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2023,834.0
2345,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Liguria,2021,4046.0
2346,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Liguria,2022,4047.0
2347,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Liguria,2023,4238.0
2350,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lombardia,2021,11226.0
2351,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lombardia,2022,12911.0
2352,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lombardia,2023,15926.0
2360,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2021,2607.0
2361,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2022,2695.0
2362,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2023,2913.0
2365,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Molise,2021,396.0
2366,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Molise,2022,405.0
2367,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Molise,2023,407.0
2370,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Campania,2021,6803.0
2371,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Campania,2022,7311.0
2372,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Campania,2023,8560.0
2375,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Puglia,2021,8081.0
2376,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Puglia,2022,11679.0
2377,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Puglia,2023,9063.0
2380,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Basilicata,2021,1262.0
2381,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Basilicata,2022,1289.0
2382,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Basilicata,2023,1408.0
2385,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Calabria,2021,2402.0
2386,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Calabria,2022,2800.0
2387,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Calabria,2023,2302.0
2395,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2021,6307.0
2396,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2022,6869.0
2397,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sicilia,2023,7143.0
2400,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2021,4350.0
2401,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2022,4536.0
2402,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Sardegna,2023,4694.0
2410,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2021,6785.0
2411,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2022,7774.0
2412,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2023,7917.0
2415,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2021,1800.0
2416,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2022,1853.0
2417,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2023,1943.0
2420,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Veneto,2021,56706.0
2421,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Veneto,2022,50787.0
2422,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Veneto,2023,56957.0
2425,Establishments,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2021,8181.0
