,Region,Year,Value,DS,institution_count
182,Molise,2021,60132.0,d2,63
183,Molise,2021,129914.0,d4,63
184,Molise,2021,912022.0,d5,63
185,Molise,2021,9373855.0,d3,63
186,Molise,2022,33.25,d6,63
187,Molise,2022,1523.0,d1,63
188,Molise,2022,89001.0,d2,63
189,Molise,2022,134275.0,d4,63
190,Molise,2022,830514.0,d5,63
191,Molise,2022,8791060.0,d3,63
192,Molise,2023,37.55,d6,63
193,Molise,2023,1523.0,d1,63
194,Molise,2023,117615.0,d2,63
195,Molise,2023,143757.0,d4,63
196,Molise,2023,989572.0,d5,63
197,Molise,2023,10216494.0,d3,63
198,Piemonte,2021,32.8,d6,619
199,Piemonte,2021,26357.0,d1,619
200,Piemonte,2021,1666696.0,d2,619
201,Piemonte,2021,3401574.0,d4,619
202,Piemonte,2021,18559014.0,d5,619
203,Piemonte,2021,202880565.0,d3,619
204,Piemonte,2022,45.45,d6,619
205,Piemonte,2022,26462.0,d1,619
206,Piemonte,2022,3076642.0,d2,619
207,Piemonte,2022,5248980.0,d4,619
208,Piemonte,2022,27499158.0,d5,619
209,Piemonte,2022,303929776.0,d3,619
210,Piemonte,2023,45.7,d6,619
211,Piemonte,2023,26820.0,d1,619
212,Piemonte,2023,3830695.0,d2,619
213,Piemonte,2023,5541670.0,d4,619
214,Piemonte,2023,28820896.0,d5,619
215,Piemonte,2023,319215590.0,d3,619
216,Puglia,2021,32.15,d6,270
217,Puglia,2021,38425.0,d1,270
218,Puglia,2021,3307726.0,d2,270
219,Puglia,2021,3336540.0,d4,270
220,Puglia,2021,27749636.0,d5,270
221,Puglia,2021,275359060.0,d3,270
222,Puglia,2022,33.45,d6,270
223,Puglia,2022,41810.0,d1,270
224,Puglia,2022,4343715.0,d4,270
225,Puglia,2022,5066047.0,d2,270
226,Puglia,2022,32236194.0,d5,270
227,Puglia,2022,327374802.0,d3,270
228,Puglia,2023,34.349999999999994,d6,270
229,Puglia,2023,39554.0,d1,270
230,Puglia,2023,4724326.0,d4,270
231,Puglia,2023,6270964.0,d2,270
232,Puglia,2023,33644288.0,d5,270
233,Puglia,2023,344736662.0,d3,270
234,Sardegna,2021,35.5,d6,271
235,Sardegna,2021,27506.0,d1,271
236,Sardegna,2021,2466091.0,d4,271
237,Sardegna,2021,3584265.0,d2,271
238,Sardegna,2021,21264442.0,d5,271
239,Sardegna,2021,209572503.0,d3,271
240,Sardegna,2022,41.65,d6,271
241,Sardegna,2022,28072.0,d1,271
242,Sardegna,2022,3411892.0,d4,271
243,Sardegna,2022,5720695.0,d2,271
244,Sardegna,2022,29401822.0,d5,271
245,Sardegna,2022,289804848.0,d3,271
246,Sardegna,2023,53.05,d6,271
247,Sardegna,2023,28173.0,d1,271
248,Sardegna,2023,3478891.0,d4,271
